,City,CO,NO2,O3,SO2,PM2.5,PM10
0,Fort Collins,213.62,9.17,27.18,0.21,2.95,4.17
1,Fairfield,226.97,3.34,65.09,0.17,5.39,9.8
2,San Leandro,263.69,15.59,65.8,2.33,5.67,13.63
3,Hartford,250.34,6.86,37.19,0.69,3.47,3.94
4,Columbus,211.95,2.4,52.93,0.4,0.7,0.87
5,Antioch,247.0,8.48,54.36,0.43,2.63,3.28
6,McKinney,323.77,20.74,21.1,0.13,4.32,6.37
7,San Marcos,280.38,9.25,29.33,0.57,4.6,6.56
8,Conroe,230.31,6.6,19.31,0.09,4.62,6.72
9,Miami,236.99,6.86,72.96,1.36,5.44,7.99
10,Syracuse,216.96,2.55,83.69,30.52,52.08,141.26
11,Newark,473.98,49.35,0.03,6.2,8.5,12.24
12,Naperville,547.41,40.78,0.02,0.51,10.44,16.97
13,Santa Clara,287.06,20.91,54.36,3.31,7.53,15.82
14,Sterling Heights,216.96,3.68,34.69,0.44,0.76,1.01
15,Corpus Christi,230.31,3.3,52.93,0.77,8.8,10.44
16,Bossier City,243.66,12.51,7.87,0.2,6.69,9.29
17,Eugene,287.06,9.94,7.15,0.38,4.42,6.27
18,Tacoma,270.37,8.31,55.08,1.27,4.1,5.39
19,Gaithersburg,277.04,6.34,30.4,1.52,6.91,7.11
20,Somerville,270.37,11.65,50.07,2.24,4.43,5.06
21,Saint George,300.41,1.06,25.03,0.71,1.87,4.06
22,Suffolk,247.0,3.09,47.21,0.41,5.76,5.94
23,Iowa City,250.34,5.01,53.64,1.3,4.93,5.44
24,Metairie,260.35,10.2,89.41,3.99,14.96,17.23
25,Carolina,163.56,0.59,24.68,0.34,5.5,6.63
26,Camarillo,263.69,10.71,24.32,0.07,9.84,11.83
27,Brandon,223.64,0.7,65.8,0.26,0.5,0.64
28,Asheville,226.97,1.93,57.94,1.21,1.84,1.9
29,Saint Petersburg,667.57,55.52,0.04,59.13,5.27,7.1
30,Canton,267.03,8.65,15.74,0.04,3.5,4.42
31,Portland,300.41,17.14,20.74,2.53,7.03,9.43
32,Centreville,260.35,6.26,31.83,1.94,4.49,4.81
33,Davenport,247.0,5.57,52.21,0.63,3.23,3.57
34,Hollywood,801.09,86.37,0.0,5.07,21.61,33.88
35,Greenville,230.31,4.41,23.25,0.2,1.86,2.34
36,Sunrise Manor,574.11,69.92,0.59,2.38,15.05,32.0
37,Olathe,230.31,7.2,41.13,0.24,1.98,2.63
38,Minneapolis,233.65,4.33,62.94,2.98,2.93,3.87
39,Greensboro,247.0,3.47,32.54,1.09,1.23,1.48
40,Glen Burnie,380.52,20.05,10.91,1.07,9.32,10.23
41,Moreno Valley,554.09,65.8,66.52,16.69,27.48,34.16
42,Lewisville,367.17,31.19,5.19,0.1,5.27,8.04
43,Kennewick,403.88,22.96,9.48,0.45,9.38,13.43
44,Merced,313.76,8.4,121.59,5.31,27.96,32.37
45,Philadelphia,667.57,27.76,0.0,2.68,15.23,17.01
46,Bloomington,226.97,4.58,42.2,0.15,2.32,2.6
47,Salt Lake City,767.71,105.56,3.26,6.26,55.62,64.32
48,Redwood City,233.65,4.5,74.39,0.83,4.61,13.01
49,Mount Pleasant,198.6,6.43,7.24,0.04,4.52,9.71
50,Arlington Heights,370.5,28.45,11.18,0.38,5.9,8.63
51,Macon,240.33,3.9,64.37,2.83,4.18,4.9
52,Independence,260.35,13.71,39.7,0.86,3.18,4.15
53,Ogden,216.96,11.48,52.93,0.44,15.61,19.13
54,Fresno,413.9,28.45,37.55,1.15,21.86,28.38
55,Frederick,263.69,5.91,27.18,0.83,5.59,5.85
56,Pompano Beach,223.64,3.04,77.96,0.26,5.31,7.73
57,Spokane Valley,460.63,40.1,20.03,0.73,13.28,19.45
58,Knoxville,260.35,9.34,16.99,0.41,5.94,6.44
